wav_filename,wav_filesize,transcript
,,
asr-marathi-data/data/wavs/train/mrt_01523_00028548203.wav,597446,मी तुमच्यासाठी काही करू शकतो का ?
,,
asr-marathi-data/data/wavs/train/mrt_01523_00029882518.wav,731194,एक बस दोन तासांपूर्वी येऊन गेली आणि पुढची बस यायला अजून फक्त पाच मिनिटं आहेत
,,
asr-marathi-data/data/wavs/train/mrt_02436_00013089849.wav,356702,कृपया आपली सीट सरळ करावी
,,
asr-marathi-data/data/wavs/train/mrt_02436_00013484215.wav,570698,किशोर कुमार यांचा जन्म मध्य प्रदेशातील खांडवा गावी झाला
,,
asr-marathi-data/data/wavs/train/mrt_02484_00002806507.wav,614444,तुम्हाला वाट पहावी लागली का क्वचित कधी माझा वेग मंदावतो ?
,,
asr-marathi-data/data/wavs/train/mrt_02484_00007602377.wav,507948,धुकं कशामुळे तयार होतं ते माहीत आहे का तुम्हाला ?
,,
asr-marathi-data/data/wavs/train/mrt_02624_00000391676.wav,614444,तुमच्या बाबतीत काही वाईट झालं नसेल अशी आशा आहे मी काही मदत करू ?
,,
asr-marathi-data/data/wavs/train/mrt_02624_00007390408.wav,696364,अक्षयनं यावर्षी भरपूर अभ्यास केला अथक परिश्रम घेतले आणि वर्गात अकरावा आला
,,
asr-marathi-data/data/wavs/train/mrt_03349_00062047674.wav,770092,खांदेश्वर हे या मार्गावरील दहावे स्थानक असून येथे ट्रेन बराच वेळ थांबते
,,
asr-marathi-data/data/wavs/train/mrt_03349_00062847458.wav,655404,क्रॉफर्ड मार्केटमधल्या सत्तर दुकानांमधून आपल्याला हवी ती गोष्ट मिळू शकते
